tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_abortiva_SC226,213.1636363636,100.2,64.6,2099.1454545455,285.8,131.8909090909,153.9090909091,235.5818181818,193.8545454545,236.0909090909,183.7454545455,1913.9636363636,336.8909090909,49.1454545455,66.8,923.2181818182,184.5636363636,888.7454545455,240.2909090909,620.6909090909
Scleria_angusta_SC072,222.1875,89.90625,58.1875,2242.34375,293.15625,139.59375,153.5625,247.96875,199.625,248.53125,191.625,1660.21875,249.90625,54.28125,47.09375,686.96875,199.5,657.5625,259.15625,190.375
Scleria_ankaratrensis_SC022,158,124,67,2383,239,56,183,182,124,183,124,1495,310,15,90,842,48,823,48,1676
Scleria_arguta_SC125,212.625,115.75,65.875,1545.25,293.625,119.125,174.5,226.625,192.375,230.125,191.25,1500,259.625,21.625,66.875,708.375,84.75,498.5,110,662.25
Scleria_balansae_SC203,193.1,101.6,49.4,3546.8,298.6,94.6,204,186.3,184.9,237.6,147.9,1411.4,152.7,77.4,20.3,424.9,259.6,384.7,308.3,173.1
Scleria_baldwinii_SC187,206.2702702703,116.9459459459,44.4594594595,5380.1351351351,328.7297297297,66,262.7297297297,253,169.972972973,271.1081081081,134.027027027,1384.4324324324,181.6486486486,64.6216216216,34.7567567568,503.7837837838,230.027027027,487.027027027,277.5405405405,17.4324324324
Scleria_bambariensis_SC204,203.3333333333,141,58.3333333333,2363.6666666667,314.3333333333,71,243.3333333333,216.3333333333,168.3333333333,226.3333333333,168.3333333333,953,211.3333333333,0,106.3333333333,606,0.6666666667,278.6666666667,0.6666666667,1401
Scleria_baroni-clarkei_SC205,244.6666666667,92.6666666667,69.6666666667,1129,306.3333333333,174,132.3333333333,249.3333333333,226.6666666667,255.3333333333,226.6666666667,1699.6666666667,270.6666666667,5.6666666667,66,665.3333333333,23.6666666667,619.6666666667,23.6666666667,535.3333333333
Scleria_baronii_SC206,190.5,114.7222222222,64.8333333333,2445.5,273.2222222222,97.8333333333,175.3888888889,216.0555555556,161.7222222222,216.1666666667,155.8333333333,1400.9444444444,297.9444444444,24.2222222222,87.2222222222,797.9444444444,85.9444444444,792.8333333333,97.9444444444,1127.3333333333
Scleria_bequaertii_SC381,250.5714285714,100.2857142857,80,636.8571428571,313.2857142857,187.8571428571,125.4285714286,249,243.1428571429,257.7142857143,241.5714285714,1656,234,35.2857142857,45.1428571429,603.4285714286,164.8571428571,496.5714285714,196.1428571429,436.1428571429
Scleria_biflora_SC108,242.7088607595,89.9367088608,52.417721519,2886.6329113924,327.7341772152,144.746835443,182.9873417722,263.7215189873,211.4936708861,275.2151898734,201.9873417722,2024.9113924051,402.5949367089,35.582278481,78.3417721519,1061.8101265823,127.6835443038,628.9113924051,260.1265822785,283.6708860759
Scleria_boivinii_SC209,245.5034013605,96.3401360544,72.1496598639,1099.3265306122,313.0884353742,179.8299319728,133.2585034014,247.0476190476,240.3265306122,257.5918367347,230.0272108844,1986.6190476191,360.8027210884,28.156462585,64.4829931973,893.6530612245,129.0884353742,529.7346938776,404.7210884354,353.9523809524
Scleria_bourgeaui_SC313,154,150.8181818182,60,3194.8181818182,274.9090909091,25.4545454545,249.4545454545,181.6363636364,138.7272727273,190,109.4545454545,626.6363636364,162.1818181818,3.2727272727,105,415.2727272727,14.4545454545,215.5454545455,40.9090909091,2246.1818181818
Scleria_bracteata_SC068,246.6219239374,94.6532438479,70.2617449664,1170.9060402685,314.0984340045,179.0111856823,135.0872483221,248.1476510067,244.389261745,259.2326621924,229.966442953,1828.2483221477,300.3064876957,41.8948545861,58.6196868009,801.9753914989,150.4026845638,383.4988814318,420.4474272931,287.4429530201
Scleria_brownii_SC059,257.0606796117,119.3786407767,56.7645631068,2840.7415048544,350.3349514563,140.6480582524,209.6868932039,278.4563106796,219.6638349515,287.7633495146,215.2245145631,1141.588592233,263.3009708738,7.5388349515,100.9405339806,717.0109223301,29.0133495146,430.8252427184,35.0970873786,210.3264563107
