tip,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,altitude
Scleria_abortiva_SC226,10.3553963881,4.5733333333,0.4549494949,3193.8649280686,6.9834343434,18.2947291093,7.4931129477,10.1829568411,15.0427058463,10.4459749005,12.4647933884,4280.2659687787,71.134459749,13.2137496174,9.0272053872,497.7156167738,196.143275176,437.9435812672,468.798432813,4458.7083318029
Scleria_angusta_SC072,6.1359627016,12.105563256,0.8899949597,5695.771389869,8.4236076109,23.1206842238,28.9313256048,5.1703314012,16.826108871,5.374968498,8.705141129,16621.3401902722,418.164030998,19.8976499496,10.4281439012,3119.3578314012,307.2338709677,2829.9272933468,867.9679624496,2967.8402217742
Scleria_ankaratrensis_SC022,503.9279524147,228.1594771939,51.0474362296,707706.968229495,547.7602006365,1115.7759077659,1051.1997972997,500.7345668885,978.5099356289,410.3390445178,878.045339605,231564.739679315,7649.3836355718,815.2171975124,312.3226182068,49833.0552541479,9121.4247119634,31057.0378409198,59576.5427649731,127879.158074289
Scleria_arguta_SC125,62.9909940518,28.5199346492,6.3809295287,88463.3710286868,68.4700250796,139.4719884707,131.3999746625,62.5918208611,122.3137419536,51.2923805647,109.7556674506,28945.5924599144,956.1729544465,101.902149689,39.0403272759,6229.1319067685,1140.1780889954,3882.129730115,7447.0678456216,15984.8947592861
Scleria_balansae_SC203,50.3927952415,22.8159477194,5.104743623,70770.6968229495,54.7760200637,111.5775907766,105.11997973,50.0734566888,97.8509935629,41.0339044518,87.8045339605,23156.4739679315,764.9383635572,81.5217197512,31.2322618207,4983.3055254148,912.1424711963,3105.703784092,5957.6542764973,12787.9158074289
Scleria_baldwinii_SC187,7.4994724454,3.0749939128,0.6585504423,32116.5723155588,0.4529258989,28.6231231231,30.6931661391,59.9714714715,8.7274571869,0.4486243,25.4076373671,569.3431539648,19.2285528772,9.5545816086,6.9450531613,145.7990017044,117.305535265,121.9782079377,254.7651570489,9.074385196
Scleria_bambariensis_SC204,167.9759841382,76.0531590646,17.0158120765,235902.322743165,182.5867335455,371.9253025886,350.3999324332,166.9115222962,326.169978543,136.7796815059,292.6817798683,77188.2465597717,2549.7945451906,271.7390658375,104.1075394023,16611.0184180493,3040.4749039878,10352.3459469733,19858.8475883244,42626.3860247629
Scleria_baroni-clarkei_SC205,167.9759841382,76.0531590646,17.0158120765,235902.322743165,182.5867335455,371.9253025886,350.3999324332,166.9115222962,326.169978543,136.7796815059,292.6817798683,77188.2465597717,2549.7945451906,271.7390658375,104.1075394023,16611.0184180493,3040.4749039878,10352.3459469733,19858.8475883244,42626.3860247629
Scleria_baronii_SC206,27.9959973564,12.6755265108,2.8359686794,39317.0537905275,30.4311222576,61.9875504314,58.3999887389,27.8185870494,54.3616630905,22.7966135843,48.7802966447,12864.707759962,424.9657575318,45.2898443062,17.351256567,2768.5030696749,506.7458173313,1725.3909911622,3309.8079313874,7104.3976707938
Scleria_bequaertii_SC381,71.9897074878,32.5942110277,7.2924908899,101100.995461356,78.2514572338,159.3965582523,150.1713996142,71.5335095555,139.7871336613,58.6198635025,125.435048515,33080.677097045,1092.769090796,116.4595996446,44.6175168867,7119.0078934497,1303.0606731376,4436.71969156,8510.9346807105,18268.4511534698
